p_initial,p_final,e_loss,x_sigma,dir_sigma,e_sigma
12.5314,12.3735,0.157869,4.16251,0.00277807,0.0093222
12.6183,12.4603,0.157972,4.13368,0.00275883,0.00932368
12.7057,12.5477,0.158075,4.10506,0.00273972,0.00932514
12.7938,12.6356,0.158178,4.07664,0.00272075,0.0093266
12.8825,12.7242,0.158281,4.04841,0.00270191,0.00932805
12.9718,12.8134,0.158385,4.02038,0.0026832,0.00932948
13.0617,12.9032,0.158489,3.99255,0.00266462,0.00933092
13.1522,12.9937,0.158593,3.96491,0.00264617,0.00933233
13.2434,13.0847,0.158698,3.93746,0.00262785,0.00933375
13.3352,13.1764,0.158802,3.91021,0.00260966,0.00933515
13.4276,13.2687,0.158907,3.88314,0.00259159,0.00933654
13.5207,13.3617,0.159012,3.85626,0.00257365,0.00933793
13.6144,13.4553,0.159118,3.82957,0.00255584,0.0093393
13.7088,13.5496,0.159224,3.80306,0.00253815,0.00934067
13.8038,13.6445,0.15933,3.77674,0.00252058,0.00934203
13.8995,13.7401,0.159436,3.7506,0.00250313,0.00934338
13.9959,13.8363,0.159543,3.72464,0.0024858,0.00934472
14.0929,13.9332,0.159649,3.69887,0.0024686,0.00934606
14.1906,14.0308,0.159757,3.67327,0.00245151,0.00934738
14.2889,14.1291,0.159864,3.64785,0.00243455,0.00934869
14.388,14.228,0.159972,3.62261,0.0024177,0.00935
14.4877,14.3276,0.16008,3.59754,0.00240097,0.0093513
14.5881,14.428,0.160188,3.57265,0.00238436,0.00935259
14.6893,14.529,0.160297,3.54793,0.00236785,0.00935388
14.7911,14.6307,0.160406,3.52338,0.00235147,0.00935515
14.8936,14.7331,0.160515,3.49901,0.0023352,0.00935642
14.9968,14.8362,0.160625,3.4748,0.00231904,0.00935768
15.1008,14.9401,0.160735,3.45076,0.002303,0.00935893
15.2055,15.0446,0.160845,3.42689,0.00228706,0.00936017
15.3109,15.1499,0.160955,3.40318,0.00227124,0.00936141
15.417,15.2559,0.161066,3.37964,0.00225553,0.00936264
15.5239,15.3627,0.161177,3.35626,0.00223993,0.00936386
15.6315,15.4702,0.161289,3.33305,0.00222443,0.00936507
15.7398,15.5784,0.161401,3.30999,0.00220904,0.00936627
15.8489,15.6874,0.161513,3.2871,0.00219376,0.00936747
15.9588,15.7972,0.161625,3.26437,0.00217859,0.00936866
16.0694,15.9077,0.161738,3.24179,0.00216352,0.00936984
16.1808,16.0189,0.161851,3.21937,0.00214855,0.00937101
16.293,16.131,0.161965,3.19711,0.00213369,0.00937218
16.4059,16.2438,0.162079,3.175,0.00211894,0.00937334
16.5196,16.3574,0.162193,3.15304,0.00210428,0.00937449
16.6341,16.4718,0.162307,3.13124,0.00208973,0.00937563
16.7494,16.587,0.162422,3.10958,0.00207528,0.00937677
16.8655,16.703,0.162537,3.08808,0.00206093,0.0093779
16.9824,16.8198,0.162653,3.06673,0.00204668,0.00937902
17.1002,16.9374,0.162769,3.04553,0.00203252,0.00938014
17.2187,17.0558,0.162885,3.02447,0.00201847,0.00938125
17.338,17.175,0.163002,3.00356,0.00200451,0.00938235
17.4582,17.2951,0.163119,2.98279,0.00199065,0.00938344
17.5792,17.416,0.163237,2.96217,0.00197689,0.00938453
17.7011,17.5377,0.163354,2.94169,0.00196322,0.00938561
17.8238,17.6603,0.163473,2.92136,0.00194965,0.00938668
17.9473,17.7837,0.163591,2.90116,0.00193617,0.00938775
18.0717,17.908,0.16371,2.88111,0.00192278,0.00938881
18.197,18.0332,0.16383,2.86119,0.00190949,0.00938986
18.3231,18.1592,0.163949,2.84141,0.00189629,0.00939091
18.4502,18.2861,0.16407,2.82177,0.00188318,0.00939195
18.578,18.4139,0.16419,2.80227,0.00187017,0.00939298
18.7068,18.5425,0.164311,2.7829,0.00185724,0.00939401
18.8365,18.6721,0.164433,2.76367,0.0018444,0.00939503
18.9671,18.8025,0.164554,2.74456,0.00183165,0.00939604
19.0985,18.9339,0.164677,2.7256,0.00181899,0.00939705
19.2309,19.0661,0.164799,2.70676,0.00180642,0.00939805
19.3642,19.1993,0.164922,2.68805,0.00179393,0.00939904
19.4984,19.3334,0.165046,2.66948,0.00178154,0.00940003
19.6336,19.4684,0.16517,2.65103,0.00176922,0.00940101
