p_initial,total_mean,bethe,total_mode,landau_sigma
1.1776,0.00132863,0.00132705,0.00119458,9.6379e-05
1.18932,0.00132949,0.0013279,0.00119535,9.63639e-05
1.20116,0.00133035,0.00132874,0.00119611,9.63491e-05
1.21311,0.00133122,0.0013296,0.00119688,9.63346e-05
1.22519,0.00133209,0.00133045,0.00119765,9.63204e-05
1.23738,0.00133296,0.00133131,0.00119842,9.63064e-05
1.2497,0.00133384,0.00133217,0.0011992,9.62928e-05
1.26213,0.00133472,0.00133303,0.00119998,9.62794e-05
1.2747,0.0013356,0.0013339,0.00120076,9.62662e-05
1.28738,0.00133649,0.00133477,0.00120155,9.62533e-05
1.3002,0.00133738,0.00133564,0.00120234,9.62407e-05
1.31314,0.00133827,0.00133652,0.00120313,9.62283e-05
1.32621,0.00133917,0.0013374,0.00120392,9.62162e-05
1.33941,0.00134007,0.00133828,0.00120472,9.62043e-05
1.35274,0.00134097,0.00133916,0.00120552,9.61926e-05
1.3662,0.00134187,0.00134005,0.00120632,9.61812e-05
1.3798,0.00134278,0.00134094,0.00120712,9.617e-05
1.39353,0.00134369,0.00134183,0.00120793,9.6159e-05
1.4074,0.0013446,0.00134273,0.00120873,9.61482e-05
1.42141,0.00134552,0.00134362,0.00120955,9.61376e-05
1.43555,0.00134644,0.00134452,0.00121036,9.61273e-05
1.44984,0.00134736,0.00134542,0.00121117,9.61171e-05
1.46427,0.00134828,0.00134633,0.00121199,9.61071e-05
1.47884,0.00134921,0.00134723,0.00121281,9.60974e-05
1.49356,0.00135013,0.00134814,0.00121363,9.60878e-05
1.50843,0.00135106,0.00134905,0.00121445,9.60784e-05
1.52344,0.001352,0.00134996,0.00121527,9.60692e-05
1.5386,0.00135293,0.00135088,0.0012161,9.60602e-05
1.55392,0.00135387,0.00135179,0.00121693,9.60514e-05
1.56938,0.00135481,0.00135271,0.00121776,9.60427e-05
1.585,0.00135575,0.00135363,0.00121859,9.60342e-05
1.60078,0.00135669,0.00135455,0.00121942,9.60259e-05
1.61671,0.00135763,0.00135548,0.00122025,9.60177e-05
1.6328,0.00135858,0.0013564,0.00122109,9.60097e-05
1.64905,0.00135953,0.00135733,0.00122192,9.60018e-05
1.66546,0.00136048,0.00135826,0.00122276,9.59941e-05
1.68204,0.00136143,0.00135918,0.0012236,9.59866e-05
1.69878,0.00136238,0.00136012,0.00122444,9.59792e-05
1.71569,0.00136334,0.00136105,0.00122529,9.59719e-05
1.73276,0.00136429,0.00136198,0.00122613,9.59648e-05
1.75001,0.00136525,0.00136292,0.00122698,9.59579e-05
1.76742,0.00136621,0.00136385,0.00122782,9.5951e-05
1.78501,0.00136717,0.00136479,0.00122867,9.59443e-05
1.80278,0.00136813,0.00136573,0.00122952,9.59378e-05
1.82072,0.0013691,0.00136667,0.00123037,9.59313e-05
1.83884,0.00137006,0.00136761,0.00123122,9.5925e-05
1.85715,0.00137103,0.00136855,0.00123207,9.59188e-05
1.87563,0.001372,0.0013695,0.00123292,9.59127e-05
1.8943,0.00137297,0.00137044,0.00123377,9.59068e-05
1.91315,0.00137394,0.00137139,0.00123463,9.5901e-05
1.93219,0.00137491,0.00137233,0.00123548,9.58952e-05
1.95142,0.00137588,0.00137328,0.00123634,9.58896e-05
1.97084,0.00137685,0.00137423,0.0012372,9.58841e-05
1.99046,0.00137783,0.00137518,0.00123806,9.58787e-05
2.01027,0.0013788,0.00137612,0.00123891,9.58735e-05
2.03028,0.00137978,0.00137708,0.00123977,9.58683e-05
2.05048,0.00138076,0.00137803,0.00124063,9.58632e-05
2.07089,0.00138174,0.00137898,0.00124149,9.58582e-05
2.0915,0.00138272,0.00137993,0.00124236,9.58533e-05
2.11232,0.0013837,0.00138088,0.00124322,9.58486e-05
2.13334,0.00138468,0.00138184,0.00124408,9.58439e-05
2.15457,0.00138566,0.00138279,0.00124494,9.58393e-05
2.17602,0.00138665,0.00138375,0.00124581,9.58348e-05
2.19767,0.00138763,0.0013847,0.00124667,9.58303e-05
2.21955,0.00138861,0.00138566,0.00124754,9.5826e-05
2.24164,0.0013896,0.00138661,0.0012484,9.58218e-05
2.26395,0.00139059,0.00138757,0.00124927,9.58176e-05
2.28648,0.00139157,0.00138853,0.00125013,9.58135e-05
2.30924,0.00139256,0.00138949,0.001251,9.58095e-05
2.33222,0.00139355,0.00139044,0.00125186,9.58056e-05
2.35543,0.00139454,0.0013914,0.00125273,9.58017e-05
2.37888,0.00139553,0.00139236,0.0012536,9.5798e-05
2.40255,0.00139652,0.00139332,0.00125447,9.57943e-05
2.42646,0.00139751,0.00139428,0.00125533,9.57906e-05
2.45061,0.0013985,0.00139524,0.0012562,9.57871e-05
2.475,0.00139949,0.0013962,0.00125707,9.57836e-05
2.49964,0.00140048,0.00139716,0.00125794,9.57802e-05
2.52451,0.00140148,0.00139812,0.00125881,9.57768e-05
2.54964,0.00140247,0.00139908,0.00125968,9.57735e-05
2.57502,0.00140346,0.00140003,0.00126055,9.57703e-05
2.60064,0.00140446,0.00140099,0.00126141,9.57672e-05
2.62653,0.00140545,0.00140195,0.00126228,9.57641e-05
2.65267,0.00140645,0.00140291,0.00126315,9.5761e-05
2.67907,0.00140744,0.00140388,0.00126402,9.57581e-05
2.70573,0.00140844,0.00140484,0.00126489,9.57551e-05
2.73266,0.00140943,0.0014058,0.00126576,9.57523e-05
2.75986,0.00141043,0.00140676,0.00126663,9.57495e-05
2.78733,0.00141143,0.00140772,0.0012675,9.57467e-05
2.81507,0.00141242,0.00140867,0.00126837,9.5744e-05
2.84309,0.00141342,0.00140963,0.00126924,9.57414e-05
2.87138,0.00141442,0.00141059,0.00127011,9.57388e-05
2.89996,0.00141542,0.00141155,0.00127098,9.57363e-05
2.92882,0.00141641,0.00141251,0.00127185,9.57338e-05
2.95797,0.00141741,0.00141347,0.00127272,9.57313e-05
2.98741,0.00141841,0.00141443,0.00127358,9.57289e-05
3.01715,0.00141941,0.00141539,0.00127445,9.57266e-05
3.04718,0.00142041,0.00141635,0.00127532,9.57243e-05
3.0775,0.0014214,0.00141731,0.00127619,9.5722e-05
3.10813,0.0014224,0.00141826,0.00127706,9.57198e-05
3.13907,0.0014234,0.00141922,0.00127793,9.57177e-05
3.17031,0.0014244,0.00142018,0.00127879,9.57155e-05
3.20186,0.0014254,0.00142113,0.00127966,9.57135e-05
3.23373,0.0014264,0.00142209,0.00128053,9.57114e-05
3.26591,0.0014274,0.00142305,0.00128139,9.57094e-05
3.29842,0.00142839,0.001424,0.00128226,9.57074e-05
3.33125,0.00142939,0.00142496,0.00128313,9.57055e-05
3.3644,0.00143039,0.00142591,0.00128399,9.57036e-05
3.39789,0.00143139,0.00142687,0.00128486,9.57018e-05
3.4317,0.00143239,0.00142782,0.00128572,9.57e-05
3.46586,0.00143339,0.00142877,0.00128659,9.56982e-05
3.50035,0.00143439,0.00142973,0.00128745,9.56965e-05
3.53519,0.00143539,0.00143068,0.00128832,9.56947e-05
3.57038,0.00143639,0.00143163,0.00128918,9.56931e-05
3.60591,0.00143738,0.00143258,0.00129005,9.56914e-05
3.6418,0.00143838,0.00143353,0.00129091,9.56898e-05
3.67804,0.00143938,0.00143448,0.00129177,9.56883e-05
3.71465,0.00144038,0.00143543,0.00129263,9.56867e-05
3.75162,0.00144138,0.00143638,0.00129349,9.56852e-05
3.78896,0.00144238,0.00143733,0.00129436,9.56837e-05
3.82667,0.00144338,0.00143828,0.00129522,9.56822e-05
3.86476,0.00144437,0.00143923,0.00129608,9.56808e-05
